subjectId,name,type
45231,历史必修1,历史
45241,算法与程序设计（VB）（1）,信息技术
49298,数学必修1,数学
45253,数学必修4（4）,数学
48613,无机化学实验,校本课程
48569,空竹(男),体育
45283,乒乓球中级（男）,体育
49301,政治必修1,思想政治
45341,社会调查,校本课程
45363,高中教育改革的现状和思考,校本课程
52219,生物选修1,生物
52636,国文基础阅读(文言文部分),语文
52333,中国现当代小说选读,语文
52548,化学选修2,化学
52195,化学选修5,化学
52237,The List,英语
52499,Short Stories 2,英语
52450,ruby程序设计,信息技术
52534,数学选修2-2,数学
52192,数学选修2-3,数学
52253,数学选修4-5,数学
52681,羽毛球中级,体育
52543,物理选修3-5,物理
50609,生物必修3,生物
50933,《唐诗三百首》赏读,语文
50552,唐宋词欣赏,语文
50751,化学选修1,化学
50754,化学选修4,化学
50721,The Book Thief,英语
50567,初级节奏欣赏与体验,艺术
50908,音响操作与现场录制,艺术
50478,地理必修3,地理
50948,数学必修3,数学
50571,数学选修2-1,数学
50712,足球初级,体育
50920,羽毛球初级,体育
50956,物理选修3-1,物理
50461,物理选修3-2,物理
50872,大学先修—电磁学,校本课程
50620,政治必修4,思想政治
47103,生物必修2（4）,生物
47509,化学必修2（2）,化学
47137,基础英语（Ender's Game)（1）,英语
47660,英语中级文学阅读（The Rosie Project）（2）,英语
47491,地理必修2（6）,地理
47299,男子田径,体育
47530,男女混合空竹初级,体育
47367,政治必修2（6）,思想政治
45413,多媒体技术（2）,信息技术
45258,数学必修4（9）,数学
48751,探秘机械传动,通用技术
45512,地板球初级（男）,体育
47105,生物选修3（2）,生物
47726,语文《鲁迅作品选读》（2）,语文
47714,语文《史记》人物传记选读（1）,语文
47513,化学选修2（1）,化学
47124,化学选修5（3）,化学
47610,数学选修2-2（2）,数学
47287,数学选修4-5,数学
47345,物理选修3-3,物理
47349,物理选修3-4（3）,物理
47632,物理选修3-5（2）,物理
47680,政治必修3（3）,思想政治
45365,《礼记》,语文
45188,化学选修1,化学
48254,化学选修4,化学
45201,英语初级文学阅读（3）,英语
45226,地理必修3,地理
45236,历史必修3,历史
45265,数学必修3（理）（7）,数学
48229,社区服务,社区服务
49198,叶广芩与90年代北京书写,语文
45160,空竹初级（1）,体育
48952,男女混合跆拳道,体育
48864,男子软式垒球,体育
49140,民乐体验与创编,艺术
48916,信息必修1,信息技术
49115,信息选修1,信息技术
49078,摄影,艺术
49188,英语必修4,英语
49144,数学选修4-1,数学
49184,英语必修1,英语
47959,男子足球1,体育
49187,通用必修1,通用技术
49185,通用必修2,通用技术
49186,英语必修2,英语
47849,探戈,艺术
49061,灯光操作（学段制）,艺术
49196,正心书院戏剧节剧组（学期制）,艺术
47595,生物选修1（7）,生物
47728,语文唐宋八大家文选（2）,语文
47756,语文《史记》人物传记选读（3）,语文
47127,化学选修5（6）,化学
47281,数学必修2-3（2）,数学
47300,男子田径,体育
45181,《唐诗三百首》赏读,语文
45186,化学选修1,化学
45227,地理必修3,地理
45264,数学必修3（理）（6）,数学
49074,历史必修3,历史
49170,书院杯篮球课,体育
45292,F班（特训）,体育
45298,物理选修3-2（1）,物理
45317,政治必修4（1）,思想政治
48288,粘土手工设计与制作,艺术
48057,男子篮球3,体育
48147,色彩课初级,艺术
49173,书院杯篮球训练课男生(诚意),体育
48571,男子篮球2,体育
49172,诚意书院戏剧节剧组（学期制）,艺术
47969,书籍设计,艺术
48835,男子羽毛球1,体育
47110,生物选修3（7）,生物
47763,语文中国现当代小说选,语文
47518,化学选修2（6）,化学
47655,英语中级文学阅读（Selection of Influential Speeches ）（3）,英语
47236,历史必修3（1）,历史
47615,数学选修2-2（7）,数学
47283,数学必修2-3（4）,数学
47351,物理选修3-4（5）,物理
47631,物理选修3-5（1）,物理
45122,生物必修3,生物
45130,《万历十五年》,语文
45187,化学选修1,化学
45369,英语中级文学阅读（6）,英语
45259,数学必修3（1）,数学
45303,物理选修3-2（6）,物理
48679,套色版画,艺术
49050,美术基础初级,艺术
48358,华尔兹,艺术
48508,男子田径,体育
48847,男子武术:散打1-刀,体育
52531,生物选修3,生物
52322,《史记》人物传记研读,语文
52516,化学选修2,化学
52203,化学选修5,化学
52217,The List,英语
52383,散打初级,体育
52696,空竹中级,体育
52232,物理选修3-4,物理
52213,政治必修3,思想政治
52487,自主科学实验,校本课程
50679,化学选修4,化学
50666,灯光设计,艺术
50807,空竹初级,体育
50623,物理选修3-3(热学研修),物理
52919,拓展活动,校本课程
50467,电子控制系统,综合技术
47138,基础英语（Ender's Game)（2）,英语
47657,英语中级文学阅读（The Glass Castle）（1）,英语
47188,致知书院舞蹈节剧组（学期）,艺术
47227,建筑及其设计,通用技术
47235,历史必修2（5）,历史
47549,男子乒乓球初级,体育
47337,男女混合空竹中级,体育
47340,物理必修2（1）,物理
45136,趣味化学实验设计,校本课程
45138,化学荣誉课程1,化学
45372,英语文学阅读1（1）,英语
45230,历史必修1,历史
48054,数学必修1,数学
45252,数学必修4（3）,数学
49120,《论语》研读,语文
312257,萨特，加缪，贝克特——存在主义与荒诞派文学研读,语文
312267,美国短篇小说选读,校本课程
312058,Spanish 6,校本课程
312227,性别与爱——家庭和校园中的性别现象,思想政治
55873,Short Stories Ⅰ,英语
56129,书院戏剧节,艺术
55953,历史必修3,历史
